ship_id,event_type,event_day,propeller_condition,hull_fouling_type,hull_coating_condition,cavitation_found,draft_fwd_m,draft_aft_m
S1,DD,981,,,,,,
S1,UWI+PP,1386,,"barnacle,slime,algae",Good,,13.6,13.8
S1,UWI+PP,1438,,,,,,
S1,PP,1560,Good,slime,,No,10.8,12.0
S1,UWI+PP,1804,Good,"algae,barnacle,slime,calcium",,Yes,12.1,13.0
S2,DD,985,,,,,,
S2,UWI+PP,1218,,,,,10.6,11.8
S2,UWI,1567,,,,,9.2,11.0
S2,UWI+PP,1692,Good,"barnacle,slime,algae",Good,,12.5,13.0
S3,DD,769,,,,,,
S3,PP,1166,Good,"slime,calcium",,No,,14.0
S3,PP,1354,Fair,,,,,
S3,UWI+PP,1478,Good,"barnacle,slime",,,10.4,10.8
S3,UWI,1573,,"barnacle,slime,algae,calcium",Good,No,13.0,13.5
S3,PP,1703,Good,,,,12.0,13.0
S4,UWC,147,Fair,"slime,algae,barnacle",Good,Yes,13.0,13.2
S4,DD,835,,,,,,
S4,UWI+PP,1249,Good,"slime,barnacle,calcium",,Yes,13.8,14.0
S4,UWI+PP,1467,Good,,,,,12.0
S4,PP,1709,Fair,"slime,barnacle,calcium",,Yes,13.6,14.1
S21,UWC+PP,134,Good,"barnacle,slime,algae",Good,Yes,12.5,13.2
S21,DD,950,,,,,,
S21,UWI,1003,,,,,,
S21,UWI+PP,1383,,,,,,
S21,UWI+PP,1617,Good,"barnacle, slime, algae",,,12.0,13.0
S21,PP,1760,Fair,slime,,No,12.8,12.8
S5,DD,819,,,,,,
S5,UWI+PP,1267,Good,"slime,calcium",,No,13.8,14.2
S5,UWI+PP,1489,Good,,,No,10.8,11.6
S5,UWI,1607,Good,"barnacle,slime,algae",Good,,13.5,
S6,PP,191,Good,"slime,barnacle",,Yes,,
S6,DD,857,,,,,,
S6,UWI+PP,1203,Fair,"slime,calcium",,No,,14.0
S6,UWI+PP,1587,Good,"barnacle,slime,algae",Good,No,8.8,10.0
S7,UWI,374,Good,"barnacle,slime",Fair,,11.8,10.5
S7,DD,861,,,,,,
S7,UWI+PP,1300,Good,"barnacle,slime",Good,No,13.4,14.6
S7,PP,1501,Good,slime,,No,14.2,14.2
S7,UWI,1615,Good,"barnacle,slime",Good,No,8.8,11.8
S7,PP,1757,Good,slime,,Yes,11.6,12.0
S8,UWC+PP,269,Good,"barnacle,slime,algae",Good,Yes,11.4,12.0
S8,DD,802,,,,,,
S8,UWI+PP,1218,,,,,,
S8,UWI+PP,1269,,"barnacle,slime",Fair,,13.0,13.8
S8,UWI,1583,Good,"barnacle,slime",Good,No,9.0,11.6
S8,PP,1633,Good,,,No,,
S22,DD,910,,,,,,
S22,UWI+PP,1206,,,,,,11.4
S22,UWI+PP,1679,Good,"barnacle,slime,algae",Fair,,,13.6
S9,UWI+PP,464,Good,"barnacle,slime,algae",Good,No,11.2,12.4
S9,UWI+PP,925,,,,,14.2,14.8
S9,UWI+PP,1149,Good,slime,,No,9.0,12.6
S9,UWC,1152,,"algae,slime,barnacle,tubeworm",,,,
S23,UWI,770,Good,"barnacle,slime,calcium",,No,,
S23,UWI+PP,1304,Good,"barnacle,algae",Good,No,13.5,14.4
S23,UWC+PP,1483,,"slime, algae, barnacle",Good,,,
S23,UWC,1535,,"slime,algae",Good,,10.6,11.8
S23,UWI+PP,1657,Good,"barnacle,slime,algae",,,13.0,14.0
S10,UWI,839,Good,"barnacle,slime",Good,No,10.3,9.5
S10,PP,932,Poor,,,Yes,12.4,12.6
S10,UWC+PP,1222,Good,"barnacle,slime,algae",Good,No,13.6,13.8
S10,UWC,1304,,,,,,
S10,UWI+PP,1560,Good,"barnacle,slime",Good,No,12.2,14.6
S11,UWC+PP,570,Poor,"barnacle,slime,algae",,,11.4,12.2
S11,UWI,842,,"slime,barnacle",Good,No,10.8,7.6
S11,UWI+PP,1038,Good,"barnacle,slime,algae,calcium",,No,12.0,12.0
S11,UWC,1132,Good,"slime,algae,barnacle",Good,No,7.6,11.0
S11,UWI+PP,1258,,"slime,algae,calcium",,,13.0,14.0
S11,UWI+PP,1475,Poor,,,,,12.5
S11,UWI+PP,1709,Good,"barnacle,slime,algae,tubeworm",,,10.8,11.8
S12,UWI,878,,"barnacle,slime,calcium",Good,No,11.5,13.0
S12,UWC+PP,1167,Poor,"barnacle,slime,algae,calcium",Good,No,10.5,11.5
S12,UWC,1305,,,,,,
S12,UWI+PP,1311,,,,,,
S12,UWI+PP,1487,,,,,,
S12,UWI,1572,,"barnacle,slime,algae,calcium",Good,Yes,14.5,
S12,UWC+PP,1644,Good,"barnacle,algae",,Yes,11.4,12.8
